| time |reset|RAM16K[0]|RAM16K[1]|RAM16K[2]|
| 0    |  0  |       3 |       5 |       0 |
| 1    |  0  |       3 |       5 |       0 |
| 2    |  0  |       3 |       5 |       0 |
| 3    |  0  |       3 |       5 |       0 |
| 4    |  0  |       3 |       5 |       0 |
| 5    |  0  |       3 |       5 |       0 |
| 6    |  0  |       3 |       5 |       0 |
| 7    |  0  |       3 |       5 |       0 |
| 8    |  0  |       3 |       5 |       0 |
| 9    |  0  |       3 |       5 |       0 |
| 10   |  0  |       3 |       3 |       0 |
| 11   |  0  |       3 |       3 |       0 |
| 12   |  0  |       3 |       3 |       0 |
| 13   |  0  |       3 |       3 |       0 |
| 14   |  0  |       3 |       3 |       0 |
| 15   |  1  |       3 |       3 |       0 |
| 15   |  0  |   23456 |   12345 |       0 |
| 16   |  0  |   23456 |   12345 |       0 |
| 17   |  0  |   23456 |   12345 |       0 |
| 18   |  0  |   23456 |   12345 |       0 |
| 19   |  0  |   23456 |   12345 |       0 |
| 20   |  0  |   23456 |   12345 |       0 |
| 21   |  0  |   23456 |   12345 |       0 |
| 22   |  0  |   23456 |   12345 |       0 |
| 23   |  0  |   23456 |   12345 |       0 |
| 24   |  0  |   23456 |   12345 |       0 |
| 25   |  0  |   23456 |   23456 |       0 |
